Date,Depression,Tiredness,Cronometer accurate?,Metta,Concentration,Mouth tape,Wake early morning,Morning sunlamp,Morning sun,Morning sun lux,
2024-09-15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
2024-09-14,5000,3000,2,60000,60000,2,-1,-1,6000,-1,
2024-09-13,5000,3000,2,5000,5000,-1,3000,-1,5000,-1,
2024-09-12,4000,0,2,-1,-1,-1,-1,-1,20000,-1,
2024-09-11,5000,0,2,15000,30000,2,-1,-1,5000,-1,
2024-09-10,0,0,2,5000,45000,-1,-1,-1,9000,-1,
2024-09-09,0,2000,2,30000,60000,-1,-1,-1,5000,-1,
2024-09-08,4000,3000,2,-1,-1,2,-1,-1,14000,-1,
2024-09-07,1000,0,2,10000,30000,2,-1,-1,2000,-1,
2024-09-06,0,3000,0,-1,-1,2,-1,-1,2000,-1,
2024-09-05,0,5000,2,10000,-1,2,-1,-1,10000,-1,
2024-09-04,0,2000,2,25000,10000,-1,-1,-1,0,-1,
2024-09-03,0,3000,2,15000,-1,2,-1,-1,15000,50000000,
2024-09-02,0,0,2,20000,5000,2,-1,-1,20000,73000000,
2024-09-01,0,3000,2,20000,-1,2,-1,-1,8000,7500000,
2024-08-31,1000,5000,2,-1,-1,2,-1,-1,12000,-1,
2024-08-30,3000,2000,2,-1,-1,2,-1,-1,10000,-1,
2024-08-29,0,0,2,-1,-1,2,-1,-1,0,-1,
2024-08-28,-1,-1,0,-1,-1,0,-1,-1,11000,-1,
2024-08-27,0,1000,0,-1,-1,2,-1,-1,20000,-1,
2024-08-26,1000,3000,2,10000,10000,0,-1,-1,20000,-1,
2024-08-25,3000,4000,2,10000,10000,2,-1,-1,20000,-1,
2024-08-24,0,4000,2,-1,-1,2,-1,-1,20000,-1,
2024-08-23,0,5000,2,30000,5000,-1,-1,-1,25000,-1,
2024-08-22,5000,4000,2,60000,0,-1,-1,-1,0,-1,
2024-08-21,4000,2000,2,20000,0,2,-1,-1,25000,-1,
2024-08-20,1000,4000,2,0,0,2,-1,-1,20000,-1,
2024-08-19,2000,3000,2,15000,0,-1,-1,-1,30000,-1,
2024-08-18,2000,2000,2,90000,0,2,-1,-1,60000,-1,
2024-08-17,0,2000,2,30000,0,2,-1,-1,20000,-1,
2024-08-16,2000,1000,2,30000,0,2,-1,-1,30000,-1,
2024-08-15,0,2000,2,20000,0,2,-1,-1,20000,-1,
2024-08-14,5000,0,2,40000,10000,0,-1,-1,0,-1,
2024-08-13,3000,0,2,20000,20000,2,-1,-1,0,-1,
2024-08-12,0,0,2,0,25000,2,-1,-1,0,-1,
2024-08-11,0,0,2,0,40000,2,-1,-1,0,-1,
2024-08-10,4000,3000,2,15000,10000,2,-1,3000,0,-1,
2024-08-09,0,0,2,35000,0,2,-1,4000,0,-1,
2024-08-08,2000,2000,2,30000,50000,2,-1,4000,0,-1,
2024-08-07,4000,2000,2,0,90000,2,-1,0,0,-1,
2024-08-06,0,1000,2,0,0,2,-1,0,0,-1,
2024-08-05,0,4000,2,0,40000,2,-1,0,0,-1,
2024-08-04,0,2000,2,0,0,2,-1,0,0,-1,
2024-08-03,0,2000,2,0,0,2,-1,20000,0,-1,
2024-08-02,1000,5000,2,0,25000,2,-1,0,0,-1,
2024-08-01,0,0,2,10000,30000,-1,-1,5000,0,-1,
2024-07-31,0,4000,2,25000,40000,2,-1,6000,0,-1,
2024-07-30,0,3000,2,0,0,2,-1,6000,0,-1,
2024-07-29,3000,3000,2,0,0,2,-1,0,0,-1,
2024-07-28,0,5000,2,0,0,-1,-1,5000,0,-1,
2024-07-27,2000,5000,2,0,0,2,-1,0,0,-1,
2024-07-26,0,5000,2,0,0,2,-1,0,-1,-1,
2024-07-25,0,5000,2,0,0,2,-1,-1,-1,-1,
2024-07-24,0,0,2,0,0,2,-1,-1,-1,-1,
2024-07-23,4000,4000,2,0,0,2,-1,-1,-1,-1,
2024-07-22,0,1000,2,0,0,2,-1,-1,-1,-1,
2024-07-21,2000,4000,2,60000,0,2,-1,-1,-1,-1,
2024-07-20,0,2000,2,45000,0,2,-1,-1,-1,-1,
2024-07-19,3000,4000,2,0,40000,2,-1,-1,-1,-1,
2024-07-18,3000,4000,2,15000,35000,-1,-1,-1,-1,-1,
2024-07-17,0,3000,2,0,0,2,-1,-1,-1,-1,
2024-07-16,0,2000,2,45000,0,0,-1,-1,-1,-1,
2024-07-15,0,2000,2,0,0,-1,-1,-1,-1,-1,
2024-07-14,0,1000,2,0,0,-1,-1,-1,-1,-1,
2024-07-13,0,1000,2,0,0,-1,-1,-1,-1,-1,
2024-07-12,0,2000,2,0,0,-1,-1,-1,-1,-1,
2024-07-11,0,1000,2,0,0,-1,-1,-1,-1,-1,
2024-07-10,0,3000,2,25000,0,-1,-1,-1,-1,-1,
2024-07-09,0,3000,2,0,0,-1,-1,-1,-1,-1,
2024-07-08,5000,0,2,0,0,-1,-1,-1,-1,-1,
2024-07-07,-1,-1,2,30000,30000,-1,-1,-1,-1,-1,
2024-07-06,-1,-1,-1,0,0,-1,-1,-1,-1,-1,
2024-07-05,-1,-1,-1,0,0,-1,-1,-1,-1,-1,
2024-07-04,-1,-1,-1,0,0,-1,-1,-1,-1,-1,
2024-07-03,-1,-1,-1,0,0,-1,-1,-1,-1,-1,
2024-07-02,-1,-1,-1,0,0,-1,-1,-1,-1,-1,
2024-07-01,-1,-1,-1,0,0,-1,-1,-1,-1,-1,
2024-06-30,-1,-1,-1,25000,45000,-1,-1,-1,-1,-1,
2024-06-29,-1,-1,-1,30000,20000,-1,-1,-1,-1,-1,
2024-06-28,-1,-1,-1,60000,10000,-1,-1,-1,-1,-1,
2024-06-27,-1,-1,-1,0,0,-1,-1,-1,-1,-1,
2024-06-26,-1,-1,-1,55000,40000,-1,-1,-1,-1,-1,
2024-06-25,-1,-1,-1,60000,0,-1,-1,-1,-1,-1,
