Date,Energy (kcal),Oxalate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Alpha-carotene (µg),Beta-carotene (µg),Beta-cryptoxanthin (µg),Choline (mg),Folate (µg),Lutein+Zeaxanthin (µg),Lycopene (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Fructose (g),Starch (g),Sucrose (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Alanine (g),Arginine (g),Aspartic acid (g),Cystine (g),Glutamic acid (g),Glycine (g),Histidine (g),Hydroxyproline (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Protein (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2023-09-17,1813.11,211.27,1968.52,0.94,1.19,19.42,3.65,1.71,5.69,3175.23,12053.76,328.10,244.10,501.36,12135.65,7382.83,1173.45,426.18,667.00,13.30,1052.62,887.30,1.13,3.64,14.36,308.32,6.35,1018.04,3194.40,72.02,1446.15,7.05,146.42,43.95,23.91,19.49,6.03,53.33,101.32,32.70,95.45,9.89,5.57,9.40,0.05,3.81,2.17,2.98,2.85,5.81,0.53,8.30,2.48,1.32,,2.12,3.26,3.34,1.00,1.97,2.36,95.96,2.22,2.28,0.54,1.53,2.43,false
2023-09-18,1633.47,183.17,2702.09,1.27,1.70,36.11,5.08,2.43,14.36,4164.04,16902.11,465.39,421.25,669.03,15961.78,7424.34,1659.40,493.18,1682.00,18.74,1395.40,1515.32,1.50,3.66,18.08,431.45,7.15,1869.79,4297.25,157.16,2306.95,11.30,194.32,51.11,29.01,26.33,17.75,74.84,142.02,59.98,240.70,15.96,9.46,22.47,0.10,6.34,3.07,5.66,5.74,11.43,0.95,15.09,5.24,2.60,,4.31,6.78,7.21,2.22,3.94,4.41,108.66,4.18,4.65,1.06,3.14,4.95,false
2023-09-19,2902.26,117.48,473.18,0.40,0.59,11.07,1.83,0.77,4.95,1567.79,6018.78,167.04,145.81,211.18,5954.74,3529.31,593.85,142.83,580.00,5.70,512.86,519.86,0.51,1.23,6.17,139.52,2.69,642.03,1432.50,48.00,851.41,2.94,46.85,15.63,3.87,16.61,2.34,10.00,30.99,11.56,83.00,2.91,2.91,1.58,0.03,2.91,0.73,1.99,2.06,4.09,0.38,5.69,1.87,0.93,,1.54,2.44,2.54,0.79,1.43,1.63,135.24,1.51,1.66,0.38,1.12,1.77,false
2023-09-20,2500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,false
2023-09-21,468.74,49.14,524.29,0.48,0.67,13.34,2.15,0.87,5.94,1604.77,6214.32,166.76,168.21,228.40,6069.86,4476.63,615.67,148.76,696.00,6.22,521.72,576.16,0.53,1.34,4.96,154.28,2.18,757.34,1565.48,57.45,1063.57,3.39,54.43,16.80,4.37,20.67,2.36,11.00,37.39,13.17,99.60,3.52,3.35,1.78,0.04,3.17,0.84,2.33,2.41,4.72,0.45,6.74,2.20,1.08,,1.77,2.83,2.98,0.94,1.67,1.89,41.10,1.77,1.93,0.44,1.30,2.04,false
2023-09-22,1783.60,117.18,1419.44,1.42,2.19,24.34,6.96,2.12,8.83,3524.49,13679.90,403.95,666.26,632.18,14304.67,4759.98,1520.16,394.79,2099.62,15.82,1201.35,1417.89,1.29,65.07,16.80,371.68,6.31,1594.68,3750.51,124.05,3844.03,8.76,201.15,52.47,24.57,63.56,9.25,60.10,147.74,66.24,674.48,16.31,9.06,19.12,0.06,5.26,4.72,4.58,4.83,8.93,1.29,13.57,3.97,2.16,,3.67,5.89,5.59,1.90,3.64,4.07,121.39,4.14,3.81,0.94,2.67,4.24,false
2023-09-23,2089.20,117.12,2081.20,1.09,2.67,13.93,6.33,2.27,4.53,2663.86,10307.07,293.94,744.10,609.22,10739.94,6513.27,1234.40,299.57,1020.81,12.74,897.76,1052.00,1.67,83.06,15.21,358.69,8.26,1251.49,3543.19,97.87,2132.45,8.96,325.74,52.65,62.54,73.68,52.72,181.01,271.81,58.74,693.64,15.38,10.15,15.84,0.04,4.24,6.58,3.72,4.87,8.02,1.22,12.35,3.09,1.97,,3.31,5.29,4.80,1.51,3.51,3.45,93.42,3.94,3.17,0.81,2.27,3.67,false
2023-09-24,1878.05,147.27,2059.75,1.19,2.87,22.99,6.42,2.53,7.43,2143.73,9079.49,254.54,696.42,549.23,8756.99,4081.06,1301.55,345.96,797.50,13.13,740.42,951.48,1.71,76.67,16.47,423.43,8.06,1525.60,3880.70,123.28,2367.62,10.35,255.29,52.02,32.53,43.78,48.02,119.24,202.30,65.44,654.95,16.60,9.79,24.20,0.05,4.54,4.42,4.61,4.98,9.12,1.19,13.34,3.78,2.22,,3.80,6.15,5.45,1.75,3.77,4.01,92.44,4.38,3.78,0.93,2.79,4.33,false
2023-09-25,527.57,63.93,677.49,0.52,0.72,13.47,2.13,0.93,5.69,1207.52,5409.56,164.20,171.96,245.73,6266.39,3577.51,530.96,141.55,667.00,6.48,549.82,599.12,1.56,1.25,4.96,169.16,2.35,731.71,1610.42,53.96,913.92,18.26,69.60,20.76,11.46,14.78,2.49,25.49,48.56,14.38,95.45,3.23,3.62,1.75,0.03,3.90,1.02,2.26,2.33,4.55,0.40,6.25,2.12,1.06,,1.73,2.76,2.88,0.90,1.63,1.74,39.62,1.71,1.88,0.42,1.28,2.00,false
2023-09-26,2031.51,150.44,1836.66,1.19,2.61,27.54,7.02,2.47,12.56,2183.36,11285.00,321.04,875.32,743.72,11561.41,8274.36,1310.79,428.98,1406.55,18.74,977.47,1399.01,2.03,77.11,15.85,441.09,7.86,1882.82,4378.47,160.67,2717.07,9.97,257.51,57.40,38.05,59.98,48.19,122.37,198.45,71.59,742.10,15.21,14.96,26.11,0.09,5.89,9.40,6.26,7.26,12.94,1.42,17.71,5.46,2.96,,5.12,8.19,8.15,2.52,5.08,4.86,114.36,5.59,5.19,1.22,3.68,5.76,false
