Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-08-26 23:13:31,,UTC-04:00,2024-08-26 23:13:31,2024-08-27 06:52:45,60,16.1,358,458,207,74,77,100,601,127,78,58,false
2024-08-25 22:36:09,2024-08-26 23:13:31,UTC-04:00,2024-08-25 22:36:09,2024-08-26 00:39:47,22,15.8,115,123,64,22,29,8,523,64,100,80,false
2024-08-24 22:05:10,2024-08-25 22:36:09,UTC-04:00,2024-08-24 22:05:10,2024-08-25 06:44:44,81,15.6,415,514,307,82,26,99,516,46,81,83,false
2024-08-23 21:58:34,2024-08-24 22:05:10,UTC-04:00,2024-08-23 21:58:34,2024-08-24 07:35:43,87,15.9,465,576,246,118,101,111,536,75,81,75,false
2024-08-22 23:03:14,2024-08-23 21:58:34,UTC-04:00,2024-08-22 23:03:14,2024-08-23 07:37:39,70,15.8,359,513,173,68,118,154,511,98,70,78,false
2024-08-21 22:42:19,2024-08-22 23:03:14,UTC-04:00,2024-08-22 12:58:00,2024-08-22 14:06:00,9,16.9,48,67,34,14,0,19,555,98,74,,true
2024-08-21 22:42:19,2024-08-22 23:03:14,UTC-04:00,2024-08-21 22:42:19,2024-08-22 07:49:25,67,16.0,399,544,208,124,67,145,597,105,74,85,false
2024-08-20 23:15:49,2024-08-21 22:42:19,UTC-04:00,2024-08-21 19:17:03,2024-08-21 19:30:03,2,16.4,12,13,12,0,0,1,555,105,100,,true
2024-08-20 23:15:49,2024-08-21 22:42:19,UTC-04:00,2024-08-21 12:43:33,2024-08-21 13:37:33,7,16.7,42,54,30,12,0,12,564,105,81,,true
2024-08-20 23:15:49,2024-08-21 22:42:19,UTC-04:00,2024-08-20 23:15:49,2024-08-21 06:22:30,60,16.1,318,417,171,84,63,99,530,72,76,87,false
2024-08-19 23:07:12,2024-08-20 23:15:49,UTC-04:00,2024-08-19 23:07:12,2024-08-20 07:38:41,73,16.3,394,511,198,75,121,117,538,65,77,81,false
2024-08-18 22:53:52,2024-08-19 23:07:12,UTC-04:00,2024-08-18 22:53:52,2024-08-19 07:42:19,76,16.3,406,528,233,93,80,122,537,74,77,74,false
2024-08-17 22:55:16,2024-08-18 22:53:52,UTC-04:00,2024-08-17 22:55:16,2024-08-18 07:22:36,71,16.2,364,507,183,80,101,143,514,49,72,69,false
2024-08-17 01:03:15,2024-08-17 22:55:16,UTC-04:00,2024-08-17 01:03:15,2024-08-17 09:03:28,78,16.2,346,472,174,96,76,126,445,27,73,51,false
2024-08-15 23:07:24,2024-08-17 01:03:15,UTC-04:00,2024-08-16 11:07:29,2024-08-16 12:37:29,10,17.1,49,90,23,21,5,41,483,27,85,,true
2024-08-15 23:07:24,2024-08-17 01:03:15,UTC-04:00,2024-08-15 23:07:24,2024-08-16 08:09:24,91,15.4,439,541,249,117,73,102,482,72,81,66,false
2024-08-14 22:54:27,2024-08-15 23:07:24,UTC-04:00,2024-08-15 07:48:56,2024-08-15 09:03:56,9,15.9,47,75,44,3,0,28,527,72,85,,true
2024-08-14 22:54:27,2024-08-15 23:07:24,UTC-04:00,2024-08-14 22:54:27,2024-08-15 07:08:23,73,15.1,382,493,197,71,114,111,527,60,77,68,false
2024-08-13 23:09:17,2024-08-14 22:54:27,UTC-04:00,2024-08-13 23:09:17,2024-08-14 07:28:31,74,16.3,334,499,142,82,110,165,455,45,67,56,false
2024-08-13 00:08:50,2024-08-13 23:09:17,UTC-04:00,2024-08-13 12:00:53,2024-08-13 14:00:53,13,16.6,68,120,23,32,13,52,507,45,97,,true
2024-08-13 00:08:50,2024-08-13 23:09:17,UTC-04:00,2024-08-13 00:08:50,2024-08-13 08:02:58,83,15.9,358,470,174,71,113,112,429,47,77,44,false
2024-08-11 22:50:59,2024-08-13 00:08:50,UTC-04:00,2024-08-12 14:57:45,2024-08-12 16:57:45,16,17.2,78,120,37,21,20,25,505,47,86,,true
2024-08-11 22:50:59,2024-08-13 00:08:50,UTC-04:00,2024-08-11 22:50:59,2024-08-12 07:15:04,85,15.9,412,504,239,82,91,92,485,93,82,52,false
2024-08-10 22:31:00,2024-08-11 22:50:59,UTC-04:00,2024-08-11 11:37:46,2024-08-11 13:37:46,12,16.5,67,119,38,6,23,52,550,93,90,,true
2024-08-10 22:31:00,2024-08-11 22:50:59,UTC-04:00,2024-08-10 22:31:00,2024-08-11 06:17:48,65,16.1,347,455,195,80,72,108,534,58,76,72,false
2024-08-09 23:29:56,2024-08-10 22:31:00,UTC-04:00,2024-08-09 23:29:56,2024-08-10 07:44:42,80,16.0,372,490,239,80,53,118,463,1,76,52,false
2024-08-08 22:12:21,2024-08-09 23:29:56,UTC-04:00,2024-08-08 22:12:21,2024-08-09 11:15:41,100,15.8,513,783,229,118,166,270,515,50,65,50,false
2024-08-07 22:43:46,2024-08-08 22:12:21,UTC-04:00,2024-08-07 22:43:46,2024-08-08 07:55:35,84,16.2,429,550,224,85,120,121,508,90,78,73,false
2024-08-06 23:44:07,2024-08-07 22:43:46,UTC-04:00,2024-08-07 13:36:28,2024-08-07 14:56:28,11,17.1,57,80,14,24,19,23,548,90,82,,true
2024-08-06 23:44:07,2024-08-07 22:43:46,UTC-04:00,2024-08-06 23:44:07,2024-08-07 08:00:14,74,16.0,408,495,265,71,72,87,549,80,82,77,false
2024-08-05 22:51:33,2024-08-06 23:44:07,UTC-04:00,2024-08-05 22:51:33,2024-08-06 07:53:25,72,15.3,413,537,185,128,100,124,574,103,77,77,false
2024-08-04 23:05:01,2024-08-05 22:51:33,UTC-04:00,2024-08-04 23:05:01,2024-08-05 06:50:46,62,15.5,341,465,190,78,73,124,548,82,74,72,false
2024-08-03 22:36:27,2024-08-04 23:05:01,UTC-04:00,2024-08-03 22:36:27,2024-08-04 07:21:12,75,15.2,386,520,258,101,27,134,515,54,75,61,false
2024-08-02 22:53:04,2024-08-03 22:36:27,UTC-04:00,2024-08-03 10:04:04,2024-08-03 11:04:04,6,16.9,30,60,17,13,0,30,509,54,89,,true
2024-08-02 22:53:04,2024-08-03 22:36:27,UTC-04:00,2024-08-02 22:53:04,2024-08-03 07:48:39,83,15.7,414,534,183,104,127,120,499,127,78,51,false
2024-08-01 23:20:31,2024-08-02 22:53:04,UTC-04:00,2024-08-02 16:17:48,2024-08-02 17:17:48,7,17.3,37,60,37,0,0,23,524,127,82,,true
2024-08-01 23:20:31,2024-08-02 22:53:04,UTC-04:00,2024-08-02 13:30:51,2024-08-02 14:45:51,8,17.3,44,74,16,15,13,30,586,127,78,,true
2024-08-01 23:20:31,2024-08-02 22:53:04,UTC-04:00,2024-08-02 08:00:32,2024-08-02 09:00:32,3,16.7,18,60,18,0,0,42,584,127,46,,true
2024-08-01 23:20:31,2024-08-02 22:53:04,UTC-04:00,2024-08-01 23:20:31,2024-08-02 05:39:16,50,16.6,269,373,190,57,22,104,539,62,73,76,false
2024-07-31 22:39:03,2024-08-01 23:20:31,UTC-04:00,2024-07-31 22:39:03,2024-08-01 07:54:32,82,15.4,442,553,219,128,95,111,539,68,80,71,false
2024-07-30 22:12:49,2024-07-31 22:39:03,UTC-04:00,2024-07-30 22:12:49,2024-07-31 06:23:12,79,15.6,400,487,217,94,89,87,507,35,82,59,false
2024-07-29 23:02:02,2024-07-30 22:12:49,UTC-04:00,2024-07-29 23:02:02,2024-07-30 07:47:56,88,15.8,400,525,217,94,89,125,455,22,78,52,false
2024-07-28 23:49:26,2024-07-29 23:02:02,UTC-04:00,2024-07-29 13:51:37,2024-07-29 14:51:37,8,17.3,37,60,20,17,0,23,482,22,92,,true
2024-07-28 23:49:26,2024-07-29 23:02:02,UTC-04:00,2024-07-28 23:49:26,2024-07-29 08:04:58,92,16.1,387,485,138,92,157,98,421,78,80,38,false
2024-07-27 23:29:19,2024-07-28 23:49:26,UTC-04:00,2024-07-28 17:30:06,2024-07-28 20:28:06,24,17.1,132,178,71,36,25,46,554,78,86,,true
2024-07-27 23:29:19,2024-07-28 23:49:26,UTC-04:00,2024-07-27 23:29:19,2024-07-28 06:32:46,68,16.1,327,418,158,76,93,91,485,102,78,61,false
2024-07-26 22:56:31,2024-07-27 23:29:19,UTC-04:00,2024-07-27 15:59:56,2024-07-27 16:30:56,6,17.1,30,31,22,8,0,1,505,102,97,,true
2024-07-26 22:56:31,2024-07-27 23:29:19,UTC-04:00,2024-07-27 11:38:50,2024-07-27 12:52:50,10,17.8,56,74,24,18,14,18,557,102,86,,true
2024-07-26 22:56:31,2024-07-27 23:29:19,UTC-04:00,2024-07-26 22:56:31,2024-07-27 06:21:18,60,16.2,310,444,134,89,87,134,515,94,70,65,false
2024-07-25 22:18:04,2024-07-26 22:56:31,UTC-04:00,2024-07-26 12:29:58,2024-07-26 13:43:58,10,17.1,53,74,18,29,6,21,537,94,83,,true
2024-07-25 22:18:04,2024-07-26 22:56:31,UTC-04:00,2024-07-26 11:17:44,2024-07-26 11:47:44,4,17.5,22,30,22,0,0,8,559,94,84,,true
2024-07-25 22:18:04,2024-07-26 22:56:31,UTC-04:00,2024-07-25 22:18:04,2024-07-26 06:43:43,64,16.2,341,505,167,92,82,164,531,56,67,77,false
2024-07-24 23:27:07,2024-07-25 22:18:04,UTC-04:00,2024-07-24 23:27:07,2024-07-25 07:36:17,76,15.5,368,486,253,78,37,118,481,68,76,73,false
2024-07-23 23:20:47,2024-07-24 23:27:07,UTC-04:00,2024-07-24 13:05:21,2024-07-24 14:32:21,12,16.9,65,87,37,22,6,22,538,68,93,,true
2024-07-23 23:20:47,2024-07-24 23:27:07,UTC-04:00,2024-07-23 23:20:47,2024-07-24 07:35:06,74,15.5,388,494,255,61,72,106,525,68,80,76,false
2024-07-22 22:33:49,2024-07-23 23:20:47,UTC-04:00,2024-07-22 22:33:49,2024-07-23 06:21:19,73,16.2,367,466,211,78,78,99,504,55,80,85,false
2024-07-21 22:42:01,2024-07-22 22:33:49,UTC-04:00,2024-07-22 14:00:06,2024-07-22 14:35:06,5,16.9,23,35,15,8,0,12,517,55,100,,true
2024-07-21 22:42:01,2024-07-22 22:33:49,UTC-04:00,2024-07-21 22:42:01,2024-07-22 07:41:50,83,15.8,423,531,263,78,82,108,509,52,80,88,false
2024-07-20 22:39:02,2024-07-21 22:42:01,UTC-04:00,2024-07-20 22:39:02,2024-07-21 08:06:43,83,15.9,394,565,175,114,105,171,475,53,71,75,false
2024-07-19 23:16:57,2024-07-20 22:39:02,UTC-04:00,2024-07-20 13:30:26,2024-07-20 14:35:26,7,17.1,34,65,13,21,0,31,509,53,89,,true
2024-07-19 23:16:57,2024-07-20 22:39:02,UTC-04:00,2024-07-19 23:16:57,2024-07-20 08:24:33,79,15.3,411,542,172,129,110,131,519,49,77,83,false
2024-07-18 22:29:06,2024-07-19 23:16:57,UTC-04:00,2024-07-18 22:29:06,2024-07-19 08:01:41,81,16.0,419,571,185,112,122,152,518,51,74,82,false
2024-07-17 22:53:32,2024-07-18 22:29:06,UTC-04:00,2024-07-17 22:53:32,2024-07-18 07:39:51,79,15.7,393,526,237,84,72,133,496,51,75,80,false
2024-07-16 23:32:50,2024-07-17 22:53:32,UTC-04:00,2024-07-17 12:32:34,2024-07-17 13:01:34,2,17.8,12,29,12,0,0,17,508,51,94,,true
2024-07-16 23:32:50,2024-07-17 22:53:32,UTC-04:00,2024-07-16 23:32:50,2024-07-17 07:56:00,78,16.2,370,501,214,61,95,131,473,63,75,72,false
2024-07-15 22:58:36,2024-07-16 23:32:50,UTC-04:00,2024-07-16 15:07:31,2024-07-16 16:27:31,11,17.3,56,80,19,19,18,24,522,63,89,,true
