Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-08-23 21:58:34,2024-08-24 22:05:10,UTC-04:00,2024-08-24 09:03:35,2024-08-24 10:04:42,61,Walking,5.9,162.0,150,93,39,9,8,0,0,false,,,
2024-08-22 23:03:14,2024-08-23 21:58:34,UTC-04:00,2024-08-23 12:13:30,2024-08-23 12:38:59,25,Walking,5.1,93.0,145,101,53,29,6,0,0,false,,,
2024-08-20 23:15:49,2024-08-21 22:42:19,UTC-04:00,2024-08-21 14:37:30,2024-08-21 17:07:29,149,Walking,14.0,867.0,170,111,35,18,18,13,0,false,,,
2024-08-20 23:15:49,2024-08-21 22:42:19,UTC-04:00,2024-08-21 12:18:00,2024-08-21 12:32:59,14,Walking,6.6,136.0,161,129,10,14,54,22,0,false,,,
2024-08-19 23:07:12,2024-08-20 23:15:49,UTC-04:00,2024-08-20 17:37:30,2024-08-20 17:56:59,19,Walking,4.4,46.0,137,93,54,16,1,0,0,false,,,
2024-08-18 22:53:52,2024-08-19 23:07:12,UTC-04:00,2024-08-19 09:10:30,2024-08-19 10:22:29,71,Walking,8.8,367.0,155,109,44,29,17,3,0,false,,,
2024-08-17 22:55:16,2024-08-18 22:53:52,UTC-04:00,2024-08-18 18:07:30,2024-08-18 18:26:59,19,Walking,5.6,103.0,165,110,31,34,15,11,0,false,,,
2024-08-15 23:07:24,2024-08-17 01:03:15,UTC-04:00,2024-08-16 10:22:30,2024-08-16 10:38:59,16,Walking,4.1,27.0,118,88,49,6,0,0,0,false,,,
2024-08-13 23:09:17,2024-08-14 22:54:27,UTC-04:00,2024-08-14 17:36:00,2024-08-14 17:56:59,20,Walking,5.3,92.0,151,105,50,23,17,4,0,false,,,
2024-08-13 00:08:50,2024-08-13 23:09:17,UTC-04:00,2024-08-13 18:28:30,2024-08-13 18:55:29,26,Walking,5.5,113.0,135,104,62,25,10,0,0,false,,,
2024-08-13 00:08:50,2024-08-13 23:09:17,UTC-04:00,2024-08-13 16:37:30,2024-08-13 17:02:59,25,Walking,5.5,114.0,149,105,30,26,20,0,0,false,,,
2024-08-13 00:08:50,2024-08-13 23:09:17,UTC-04:00,2024-08-13 08:36:00,2024-08-13 08:56:59,20,Activity,5.4,103.0,143,108,49,32,19,0,0,false,,,
2024-08-09 23:29:56,2024-08-10 22:31:00,UTC-04:00,2024-08-10 20:58:30,2024-08-10 21:16:29,17,Stairmaster,10.5,229.0,180,147,5,7,9,46,33,false,,,
2024-08-09 23:29:56,2024-08-10 22:31:00,UTC-04:00,2024-08-10 09:48:00,2024-08-10 10:14:59,26,Walking,4.5,50.0,113,92,75,2,0,0,0,false,,,
2024-08-06 23:44:07,2024-08-07 22:43:46,UTC-04:00,2024-08-07 15:24:41,2024-08-07 15:47:33,22,Hiking/Rucking,6.6,156.0,158,117,19,44,21,12,0,false,,,
2024-08-03 22:36:27,2024-08-04 23:05:01,UTC-04:00,2024-08-04 12:21:00,2024-08-04 12:43:29,22,Walking,5.0,82.0,148,102,56,32,5,0,0,false,,,
2024-08-02 22:53:04,2024-08-03 22:36:27,UTC-04:00,2024-08-03 19:27:00,2024-08-03 20:35:59,68,Walking,12.2,504.0,180,119,20,20,29,15,7,false,,,
2024-08-01 23:20:31,2024-08-02 22:53:04,UTC-04:00,2024-08-02 19:31:30,2024-08-02 19:47:59,16,Walking,6.7,102.0,173,114,44,7,10,15,10,false,,,
2024-08-01 23:20:31,2024-08-02 22:53:04,UTC-04:00,2024-08-02 17:27:00,2024-08-02 17:47:59,20,Walking,4.5,45.0,130,94,76,7,0,0,0,false,,,
2024-08-01 23:20:31,2024-08-02 22:53:04,UTC-04:00,2024-08-02 11:05:00,2024-08-02 12:11:00,66,Walking,5.5,146.0,142,92,60,7,1,0,0,false,,,
2024-07-31 22:39:03,2024-08-01 23:20:31,UTC-04:00,2024-08-01 22:10:30,2024-08-01 22:26:59,16,Spin,5.8,106.0,155,115,34,31,28,6,0,false,,,
2024-07-31 22:39:03,2024-08-01 23:20:31,UTC-04:00,2024-08-01 09:28:30,2024-08-01 09:52:29,23,Walking,5.0,88.0,135,101,89,8,1,0,0,false,,,
2024-07-30 22:12:49,2024-07-31 22:39:03,UTC-04:00,2024-07-31 15:19:30,2024-07-31 15:37:29,17,Walking,5.2,70.0,165,102,41,3,9,11,0,false,,,
2024-07-27 23:29:19,2024-07-28 23:49:26,UTC-04:00,2024-07-28 12:51:00,2024-07-28 13:14:59,23,Walking,9.6,220.0,183,129,14,31,18,13,21,false,,,
2024-07-26 22:56:31,2024-07-27 23:29:19,UTC-04:00,2024-07-27 20:25:28,2024-07-27 21:16:33,51,Walking,6.1,170.0,137,100,66,21,3,0,0,false,,,
2024-07-26 22:56:31,2024-07-27 23:29:19,UTC-04:00,2024-07-27 19:05:44,2024-07-27 19:50:10,44,Walking,6.6,175.0,162,101,38,10,17,4,0,false,,,
2024-07-25 22:18:04,2024-07-26 22:56:31,UTC-04:00,2024-07-26 18:46:30,2024-07-26 19:32:59,46,Walking,12.3,382.0,185,124,25,40,13,4,18,false,,,
2024-07-25 22:18:04,2024-07-26 22:56:31,UTC-04:00,2024-07-26 17:45:00,2024-07-26 17:59:59,14,Walking,5.2,95.0,136,115,17,69,14,0,0,false,,,
2024-07-25 22:18:04,2024-07-26 22:56:31,UTC-04:00,2024-07-26 10:27:00,2024-07-26 10:41:59,14,Walking,6.1,128.0,150,125,3,29,67,1,0,false,,,
2024-07-21 22:42:01,2024-07-22 22:33:49,UTC-04:00,2024-07-22 15:49:07,2024-07-22 17:08:53,79,Walking,4.0,102.0,106,76,11,0,0,0,0,false,,,
2024-07-21 22:42:01,2024-07-22 22:33:49,UTC-04:00,2024-07-22 08:31:45,2024-07-22 09:35:05,63,Walking,6.8,230.0,160,97,29,20,9,2,0,false,,,
2024-07-20 22:39:02,2024-07-21 22:42:01,UTC-04:00,2024-07-21 13:43:30,2024-07-21 14:04:29,20,Walking,4.6,48.0,122,94,87,7,0,0,0,false,,,
2024-07-20 22:39:02,2024-07-21 22:42:01,UTC-04:00,2024-07-21 11:27:00,2024-07-21 11:46:29,19,Walking,4.0,25.0,101,87,32,0,0,0,0,false,,,
2024-07-18 22:29:06,2024-07-19 23:16:57,UTC-04:00,2024-07-19 15:54:00,2024-07-19 16:32:59,38,Walking,5.5,129.0,144,97,41,20,9,0,0,false,,,
2024-07-15 22:58:36,2024-07-16 23:32:50,UTC-04:00,2024-07-16 20:39:00,2024-07-16 21:12:30,33,Activity,6.3,171.0,154,108,55,33,9,2,0,false,,,
2024-07-14 22:49:49,2024-07-15 22:58:36,UTC-04:00,2024-07-15 21:36:00,2024-07-15 21:52:29,16,Walking,6.0,107.0,155,114,34,12,27,16,0,false,,,
2024-07-13 22:50:20,2024-07-14 22:49:49,UTC-04:00,2024-07-14 10:35:10,2024-07-14 11:05:47,30,Hiking/Rucking,7.8,213.0,158,117,23,37,17,18,0,false,,,
2024-07-12 23:15:26,2024-07-13 22:50:20,UTC-04:00,2024-07-13 10:55:42,2024-07-13 10:57:56,2,Cycling,4.3,18.0,145,124,14,25,61,0,0,false,,,
2024-07-10 23:00:46,2024-07-11 23:17:45,UTC-04:00,2024-07-11 12:22:44,2024-07-11 12:51:20,28,Hiking/Rucking,10.0,275.0,170,131,11,32,20,28,9,false,,,
2024-07-10 23:00:46,2024-07-11 23:17:45,UTC-04:00,2024-07-11 10:55:33,2024-07-11 10:57:27,1,Cycling,4.1,11.0,148,112,25,54,14,7,0,false,,,
2024-07-10 23:00:46,2024-07-11 23:17:45,UTC-04:00,2024-07-11 10:10:30,2024-07-11 10:25:29,14,Walking,4.4,37.0,126,95,67,13,0,0,0,false,,,
2024-07-08 23:00:36,2024-07-09 22:45:49,UTC-04:00,2024-07-09 14:40:30,2024-07-09 14:55:29,14,Walking,5.8,116.0,148,121,11,35,52,1,0,false,,,
2024-07-07 22:58:47,2024-07-08 23:00:36,UTC-04:00,2024-07-08 12:20:09,2024-07-08 14:07:45,107,Walking,6.5,264.0,162,82,7,5,5,3,0,false,,,
2024-07-07 22:58:47,2024-07-08 23:00:36,UTC-04:00,2024-07-08 11:51:00,2024-07-08 12:09:18,18,Activity,5.3,87.0,155,101,20,11,25,5,0,false,,,
2024-07-07 22:58:47,2024-07-08 23:00:36,UTC-04:00,2024-07-08 08:46:30,2024-07-08 08:54:45,8,Walking,4.1,21.0,128,93,56,16,0,0,0,false,,,
2024-07-05 23:05:50,2024-07-06 23:18:47,UTC-04:00,2024-07-06 19:00:00,2024-07-06 19:14:59,14,Walking,4.2,32.0,123,92,48,15,0,0,0,false,,,
2024-07-05 23:05:50,2024-07-06 23:18:47,UTC-04:00,2024-07-06 09:52:39,2024-07-06 10:00:05,7,Hiking/Rucking,5.7,61.0,165,123,44,5,12,31,4,false,,,
2024-07-04 23:01:35,2024-07-05 23:05:50,UTC-04:00,2024-07-05 16:17:55,2024-07-05 18:36:20,138,Walking,,,,,,,,,,false,,,
2024-07-04 23:01:35,2024-07-05 23:05:50,UTC-04:00,2024-07-05 09:26:26,2024-07-05 09:29:58,3,Cycling,4.1,13.0,119,100,75,21,0,0,0,false,,,
