Date,Asleep,SWS,REM,Respiratory rate (rpm),Sleep need (min),Sleep performance %
2024-08-26,5:58,1:14,1:17,16.1,10:01,60.0
2024-08-25,1:55,0:22,0:29,15.8,8:43,22.0
2024-08-24,6:55,1:22,0:26,15.6,8:36,81.0
2024-08-23,7:45,1:58,1:41,15.9,8:56,87.0
2024-08-22,5:59,1:08,1:58,15.8,8:31,70.0
2024-08-21,6:39,2:04,1:07,16.0,9:57,67.0
2024-08-20,5:18,1:24,1:03,16.1,8:50,60.0
2024-08-19,6:34,1:15,2:01,16.3,8:58,73.0
2024-08-18,6:46,1:33,1:20,16.3,8:57,76.0
2024-08-17,6:04,1:20,1:41,16.2,8:34,71.0
2024-08-16,5:46,1:36,1:16,16.2,7:25,78.0
2024-08-15,7:19,1:57,1:13,15.4,8:02,91.0
2024-08-14,6:22,1:11,1:54,15.1,8:47,73.0
2024-08-13,5:34,1:22,1:50,16.3,7:35,74.0
2024-08-12,5:58,1:11,1:53,15.9,7:09,83.0
2024-08-11,6:52,1:22,1:31,15.9,8:05,85.0
2024-08-10,5:47,1:20,1:12,16.1,8:54,65.0
2024-08-09,6:12,1:20,0:53,16.0,7:43,80.0
2024-08-08,8:33,1:58,2:46,15.8,8:35,100.0
2024-08-07,7:09,1:25,2:00,16.2,8:28,84.0
2024-08-06,6:48,1:11,1:12,16.0,9:09,74.0
2024-08-05,6:53,2:08,1:40,15.3,9:34,72.0
2024-08-04,5:41,1:18,1:13,15.5,9:08,62.0
2024-08-03,6:26,1:41,0:27,15.2,8:35,75.0
2024-08-02,6:54,1:44,2:07,15.7,8:19,83.0
2024-08-01,4:29,0:57,0:22,16.6,8:59,50.0
2024-07-31,7:22,2:08,1:35,15.4,8:59,82.0
2024-07-30,6:40,1:34,1:29,15.6,8:27,79.0
2024-07-29,6:40,1:34,1:29,15.8,7:35,88.0
2024-07-28,6:27,1:32,2:37,16.1,7:01,92.0
2024-07-27,5:27,1:16,1:33,16.1,8:05,68.0
2024-07-26,5:10,1:29,1:27,16.2,8:35,60.0
2024-07-25,5:41,1:32,1:22,16.2,8:51,64.0
2024-07-24,6:08,1:18,0:37,15.5,8:01,76.0
2024-07-23,6:28,1:01,1:12,15.5,8:45,74.0
2024-07-22,6:07,1:18,1:18,16.2,8:24,73.0
2024-07-21,7:03,1:18,1:22,15.8,8:29,83.0
2024-07-20,6:34,1:54,1:45,15.9,7:55,83.0
2024-07-19,6:51,2:09,1:50,15.3,8:39,79.0
2024-07-18,6:59,1:52,2:02,16.0,8:38,81.0
2024-07-17,6:33,1:24,1:12,15.7,8:16,79.0
2024-07-16,6:10,1:01,1:35,16.2,7:53,78.0
2024-07-15,6:54,1:51,1:55,15.7,9:01,76.0
2024-07-14,6:03,1:09,0:54,16.0,8:25,72.0
2024-07-13,6:59,1:47,1:03,15.8,8:02,87.0
2024-07-12,7:13,1:29,1:47,16.1,7:53,92.0
