Day,Time,Group,Food Name,Amount,Energy (kcal),Oxalate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Alpha-carotene (µg),Beta-carotene (µg),Beta-cryptoxanthin (µg),Choline (mg),Folate (µg),Lutein+Zeaxanthin (µg),Lycopene (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Fructose (g),Starch (g),Sucrose (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Alanine (g),Arginine (g),Aspartic acid (g),Cystine (g),Glutamic acid (g),Glycine (g),Histidine (g),Hydroxyproline (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Protein (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2023-09-17,9:00 AM,"Staples","Black Pepper, Ground","1.00 tsp",5.77,12.86,0.29,0.00,0.00,0.03,0.03,0.01,0.00,0.28,7.13,0.58,0.26,0.39,10.44,0.46,0.63,0.00,0.00,0.02,3.77,10.19,0.03,,0.22,3.93,0.29,3.63,30.57,0.11,0.46,0.03,1.47,0.58,0.01,0.93,0.00,0.01,0.89,0.07,0.00,0.02,0.02,0.03,0.00,0.00,0.02,0.01,0.01,0.03,0.00,0.03,0.01,0.00,,0.01,0.02,0.01,0.00,0.01,0.03,0.24,0.01,0.01,0.00,0.01,0.01,"Spices and Herbs"
2023-09-17,9:00 AM,"Staples","Turmeric, Ground","1.00 tsp",9.78,63.60,0.40,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.00,1.54,0.63,0.00,0.00,0.00,0.02,0.00,0.14,0.42,5.26,0.04,,1.72,6.52,0.62,9.37,65.17,0.19,0.85,0.14,2.10,0.71,0.01,1.29,0.07,0.10,1.39,0.10,0.00,0.01,0.02,0.06,0.00,0.00,0.02,0.01,0.02,0.06,0.00,0.04,0.01,0.00,,0.01,0.03,0.01,0.00,0.02,0.02,0.30,0.01,0.01,0.01,0.01,0.02,"Spices and Herbs"
2023-09-17,,"Staples","Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2023-09-17,8:18 PM,"Staples","Jarrow Formulas, EPA-DHA Balance","2.00 softgel",20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,0.00,1.20,,,,,,,,,,,,,,,,,,,,,,""
2023-09-17,,"Staples","Blueberries, Frozen, Unsweetened","150.00 g",76.50,3.69,129.89,0.05,0.06,0.78,0.19,0.09,0.00,0.00,42.00,0.00,7.65,10.50,102.00,0.00,3.50,3.75,0.00,0.72,24.60,12.00,0.05,,0.27,7.50,0.22,16.50,81.00,0.15,1.50,0.11,18.26,4.05,6.26,0.05,0.14,12.67,14.20,0.96,0.00,0.14,0.42,0.08,0.00,0.17,0.25,0.03,0.03,0.05,0.01,0.08,0.03,0.01,,0.02,0.04,0.01,0.01,0.02,0.02,0.63,0.02,0.02,0.00,0.01,0.03,"Fruits and Fruit Juices"
2023-09-17,,"Staples","Mustard Seed","0.50 tsp",5.33,0.29,0.06,0.01,0.00,0.05,0.01,0.00,0.00,0.00,0.19,0.00,1.29,1.70,5.96,0.00,0.02,0.07,0.00,0.05,0.06,2.79,0.01,,0.10,3.89,0.03,8.69,7.75,2.19,0.14,0.06,0.29,0.13,0.00,0.10,0.04,0.07,0.17,0.38,0.00,0.24,0.11,0.02,0.00,0.04,0.06,0.01,0.02,0.03,0.01,0.06,0.02,0.01,,0.01,0.02,0.02,0.01,0.01,0.03,0.27,0.01,0.01,0.00,0.01,0.02,"Spices and Herbs"
2023-09-17,,"Staples","Fish, Salmon, Pink, Canned, Drained Solids","115.00 g",158.70,,81.32,0.03,0.23,8.52,0.65,0.12,5.69,,,,100.97,4.60,,,23.00,,667.00,1.47,0.12,325.45,0.09,,0.89,36.80,0.04,435.85,382.95,45.43,438.15,1.10,,,,,,,,5.77,95.45,1.39,1.73,1.03,0.03,1.40,0.12,1.69,1.67,3.33,0.21,3.76,1.63,0.70,,1.24,2.02,2.28,0.75,1.09,1.12,26.57,1.17,1.38,0.29,0.96,1.42,"Finfish and Shellfish Products"
2023-09-17,,"Staples","Wasa, Crispbread, Sourdough","2.00 each",81.39,8.00,2.53,0.13,0.08,1.21,0.41,0.08,0.00,0.00,1.65,0.00,7.33,20.67,49.56,0.00,0.14,0.00,0.00,0.20,1.39,5.87,0.09,,0.63,26.23,0.61,81.54,125.15,3.32,89.87,0.67,18.11,3.70,0.03,11.77,0.17,0.23,14.41,0.42,0.00,0.07,0.18,0.05,0.00,0.03,0.16,0.11,0.12,0.15,0.08,0.57,0.11,0.05,,0.06,0.15,0.08,0.04,0.11,0.20,2.64,0.12,0.08,0.03,0.05,0.09,"Snacks"
2023-09-17,,"Staples","Broccoli, Cooked from Frozen","147.51 g",41.30,6.49,133.83,0.08,0.12,0.68,0.40,0.19,0.00,28.03,880.66,1.48,23.90,82.61,1615.29,0.00,74.62,59.15,0.00,1.67,129.96,48.68,0.05,0.74,0.90,19.18,0.33,72.28,209.47,1.03,16.23,0.41,7.89,4.43,0.74,1.00,0.74,2.17,3.46,0.18,0.00,0.01,0.08,0.03,0.00,0.06,0.00,0.19,0.24,0.35,0.03,0.62,0.15,0.08,,0.18,0.21,0.23,0.05,0.14,0.19,4.57,0.16,0.15,0.05,0.10,0.21,"Vegetables and Vegetable Products"
2023-09-17,,"Staples","Cauliflower, Cooked from Frozen","73.82 g",14.03,2.44,69.39,0.03,0.04,0.23,0.07,0.06,0.00,0.00,4.43,0.00,24.73,30.27,17.72,0.00,0.37,23.11,0.00,0.04,8.79,12.55,0.02,0.44,0.30,6.64,0.11,17.72,102.62,0.44,13.29,0.10,2.77,1.99,0.25,0.14,0.03,0.57,0.74,0.16,0.00,0.01,0.08,0.03,0.00,0.06,0.00,0.06,0.06,0.14,0.01,0.16,0.04,0.02,,0.05,0.07,0.06,0.02,0.04,0.05,1.19,0.06,0.04,0.02,0.03,0.06,"Vegetables and Vegetable Products"
